row_id,candidate_number,candidate_pattern,candidate_query,status,formatted_address,lat,lng,place_id,partial_match,location_type,candidate_score,candidate_reasons
MT_0053,4,unit_addr_muni_state,"Hospital Municipal, Rua 01, n.º 24-Centro, Matupá, MATO GROSSO, Brasil",OK,"Centro Norte, Várzea Grande - MT, Brasil",-15.6463035,-56.1294025,ChIJr_v-neutnZMRIIvb7_q11B8,true,APPROXIMATE,-5,in_brazil +50; state_match(MT) +40; muni_not_in_fa -30; loc_type=APPROXIMATE +5; generic_fa -15; reused_place_id -50; partial+non_rooftop -5
MT_0091,1,unit_muni_state,"Centro de Saúde de São José, São José do Povo, MATO GROSSO, Brasil",OK,"São José do Povo, MT, 78773-000, Brasil",-16.4642898,-54.2547283,ChIJUe53uIKNeZMRRSVZLJMbtt8,true,APPROXIMATE,95,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=APPROXIMATE +5; specific_fa +15; partial+non_rooftop -5
MT_0091,2,unit_muni_uf,"Centro de Saúde de São José, São José do Povo - MT, Brasil",OK,"São José do Povo, MT, 78773-000, Brasil",-16.4642898,-54.2547283,ChIJUe53uIKNeZMRRSVZLJMbtt8,true,APPROXIMATE,95,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=APPROXIMATE +5; specific_fa +15; partial+non_rooftop -5
MT_0091,3,addr_muni_state,"Rua Castelo Branco, s/n.º Centro, São José do Povo, MATO GROSSO, Brasil",OK,"R. Castelo Branco - São José do Povo, MT, 78773-000, Brasil",-16.4640829,-54.2537333,ChIJj2kvpYiNeZMRLmdISelec4U,true,GEOMETRIC_CENTER,110,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5
MT_0091,4,unit_addr_muni_state,"Centro de Saúde de São José, Rua Castelo Branco, s/n.º Centro, São José do Povo, MATO GROSSO, Brasil",OK,"Centro, São José - SC, Brasil",-27.6129026,-48.6313699,ChIJ6zozOwk2J5URsNvdS2jslbI,true,APPROXIMATE,-75,in_brazil +50; state_mismatch(SC!=MT) -80; muni_not_in_fa -30; loc_type=APPROXIMATE +5; generic_fa -15; partial+non_rooftop -5
PA_0103,1,unit_muni_state,"Hospital de Pequeno Porte, Oeiras do Pará, PARÁ, Brasil",OK,"Oeiras do Pará, PA, 68470-000, Brasil",-2.0031802,-49.8577508,ChIJMR6ERqhavZIRbpRon6nxF0Q,true,APPROXIMATE,95,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=APPROXIMATE +5; specific_fa +15; partial+non_rooftop -5
PA_0103,2,unit_muni_uf,"Hospital de Pequeno Porte, Oeiras do Pará - PA, Brasil",OK,"Oeiras do Pará, PA, 68470-000, Brasil",-2.0031802,-49.8577508,ChIJMR6ERqhavZIRbpRon6nxF0Q,true,APPROXIMATE,95,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=APPROXIMATE +5; specific_fa +15; partial+non_rooftop -5
PA_0103,3,addr_muni_state,"Travessa Honório Bastos, 1008 - Santa Maria, Oeiras do Pará, PARÁ, Brasil",OK,"R. Honório Bastos, Oeiras do Pará - PA, 68470-000, Brasil",-2.0066349,-49.8615054,EjtSLiBIb27Ds3JpbyBCYXN0b3MsIE9laXJhcyBkbyBQYXLDoSAtIFBBLCA2ODQ3MC0wMDAsIEJyYXppbCIuKiwKFAoSCRknh253UL2SEY9RjGhiv5-UEhQKEgkxHoRGqFq9khFulGifqfEXRA,true,GEOMETRIC_CENTER,150,in_brazil +50; state_match(PA) +40; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5
PA_0103,4,unit_addr_muni_state,"Hospital de Pequeno Porte, Travessa Honório Bastos, 1008 - Santa Maria, Oeiras do Pará, PARÁ, Brasil",OK,"Santa Maria - RS, Brasil",-29.68949839999999,-53.7923441,ChIJv2elDV3LA5URl3J_fx6cTaQ,true,APPROXIMATE,-75,in_brazil +50; state_mismatch(RS!=PA) -80; muni_not_in_fa -30; loc_type=APPROXIMATE +5; generic_fa -15; partial+non_rooftop -5
PE_0009,1,unit_muni_state,"Hospital Regional Sílvio Magalhães, Palmares, PERNAMBUCO, Brasil",OK,"Tv. Agamenon Magalhães - Palmares, PE, 55540-000, Brasil",-8.6726909,-35.5889938,ChIJJRe-xnSgAAcRm9VygBrT1wQ,true,GEOMETRIC_CENTER,110,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5
PE_0009,2,unit_muni_uf,"Hospital Regional Sílvio Magalhães, Palmares - PE, Brasil",OK,"R. Silvio Carlos da Silva - Palmares, PE, 55540-000, Brasil",-8.6795247,-35.5810092,ChIJOzTx4BGgAAcRwITjLfI06lI,true,GEOMETRIC_CENTER,110,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5
PE_0009,3,addr_muni_state,"BR 101, Km 185, s/n - Engenho Quilombo dos Palmares, Palmares, PERNAMBUCO, Brasil",OK,"BR-101, KM 185 - Guaporanga, Biguaçu - SC, 88168-400, Brasil",-27.4227872,-48.6243631,ChIJsbImLytRJ5URwRhtC6dBRAI,true,ROOFTOP,-5,in_brazil +50; state_mismatch(SC!=PE) -80; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15
PE_0009,4,unit_addr_muni_state,"Hospital Regional Sílvio Magalhães, BR 101, Km 185, s/n - Engenho Quilombo dos Palmares, Palmares, PERNAMBUCO, Brasil",OK,"BR-101, KM 185 - Guaporanga, Biguaçu - SC, 88168-400, Brasil",-27.4227872,-48.6243631,ChIJsbImLytRJ5URwRhtC6dBRAI,true,ROOFTOP,-5,in_brazil +50; state_mismatch(SC!=PE) -80; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15
PR_0031,1,unit_muni_state,"Hospital Nossa Senhora da Aparecida - APMI, Capitão Leônidas Marques, PARANÁ, Brasil",OK,"Cap. Leônidas Marques, PR, 85790-000, Brasil",-25.4861608,-53.6101974,ChIJUcVwW3kR8ZQR2BUCsd5j3ZU,true,APPROXIMATE,35,in_brazil +50; state_unknown; muni_not_in_fa -30; loc_type=APPROXIMATE +5; specific_fa +15; partial+non_rooftop -5
PR_0031,2,unit_muni_uf,"Hospital Nossa Senhora da Aparecida - APMI, Capitão Leônidas Marques - PR, Brasil",OK,"Cap. Leônidas Marques, PR, 85790-000, Brasil",-25.4861608,-53.6101974,ChIJUcVwW3kR8ZQR2BUCsd5j3ZU,true,APPROXIMATE,35,in_brazil +50; state_unknown; muni_not_in_fa -30; loc_type=APPROXIMATE +5; specific_fa +15; partial+non_rooftop -5
PR_0031,3,addr_muni_state,"Rua Pedro Dalibra, s/n - Cidade Baixa, Capitão Leônidas Marques, PARANÁ, Brasil",OK,"Cidade Baixa, Porto Alegre - RS, Brasil",-30.0401669,-51.2228614,ChIJoRwLwv94GZUR7zmALAtDhB4,true,APPROXIMATE,-75,in_brazil +50; state_mismatch(RS!=PR) -80; muni_not_in_fa -30; loc_type=APPROXIMATE +5; generic_fa -15; partial+non_rooftop -5
PR_0031,4,unit_addr_muni_state,"Hospital Nossa Senhora da Aparecida - APMI, Rua Pedro Dalibra, s/n - Cidade Baixa, Capitão Leônidas Marques, PARANÁ, Brasil",OK,"Cidade Baixa, Porto Alegre - RS, Brasil",-30.0401669,-51.2228614,ChIJoRwLwv94GZUR7zmALAtDhB4,true,APPROXIMATE,-75,in_brazil +50; state_mismatch(RS!=PR) -80; muni_not_in_fa -30; loc_type=APPROXIMATE +5; generic_fa -15; partial+non_rooftop -5
PR_0139,1,unit_muni_state,"Hospital Municipal Santo Antonio, Piraí do Sul, PARANÁ, Brasil",OK,"R. Joanino Miléo, 49 - CENTRO, Piraí do Sul - PR, 84240-000, Brasil",-24.5362253,-49.9345002,ChIJz_9y0gJ8wpQR4IW12cLPm8E,true,ROOFTOP,175,in_brazil +50; state_match(PR) +40; muni_in_fa +30; loc_type=ROOFTOP +40; specific_fa +15
PR_0139,2,unit_muni_uf,"Hospital Municipal Santo Antonio, Piraí do Sul - PR, Brasil",OK,"R. Joanino Miléo, 49 - CENTRO, Piraí do Sul - PR, 84240-000, Brasil",-24.5362253,-49.9345002,ChIJz_9y0gJ8wpQR4IW12cLPm8E,true,ROOFTOP,175,in_brazil +50; state_match(PR) +40; muni_in_fa +30; loc_type=ROOFTOP +40; specific_fa +15
PR_0139,3,addr_muni_state,"Rua Joanino Milléo, 49 - Centro, Piraí do Sul, PARANÁ, Brasil",OK,"R. Amanda Rocha Milléo, 49, Piraí do Sul - PR, 84240-000, Brasil",-24.5285276,-49.9398828,EkJSLiBBbWFuZGEgUm9jaGEgTWlsbMOpbywgNDksIFBpcmHDrSBkbyBTdWwgLSBQUiwgODQyNDAtMDAwLCBCcmF6aWwiMBIuChQKEgmb4pExq37ClBFi9jK4UmuE6xAxKhQKEgn9MSgtq37ClBEey5Dr5fBRXg,true,RANGE_INTERPOLATED,155,in_brazil +50; state_match(PR) +40; muni_in_fa +30; loc_type=RANGE_INTERPOLATED +25; specific_fa +15; partial+non_rooftop -5
PR_0139,4,unit_addr_muni_state,"Hospital Municipal Santo Antonio, Rua Joanino Milléo, 49 - Centro, Piraí do Sul, PARANÁ, Brasil",OK,"Centro Histórico, Porto Alegre - RS, Brasil",-30.0308043,-51.2278242,ChIJqz4ETQ55GZUR1I_huiAImnY,true,APPROXIMATE,-75,in_brazil +50; state_mismatch(RS!=PR) -80; muni_not_in_fa -30; loc_type=APPROXIMATE +5; generic_fa -15; partial+non_rooftop -5
RR_0034,1,unit_muni_state,"Hospital Délio de Oliveira Tupinambá, Pacaraima, RORAIMA, Brasil",OK,"4°29'11.8""N 61°08'28.1""W - 1, 8, Piraí do Sul - PR, 84240-000, Brasil",4.486599,-61.141127,ChIJvQnJJ8v8v40Ra9XMS0L0sAM,true,ROOFTOP,-5,in_brazil +50; state_mismatch(PR!=RR) -80; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15
RR_0034,2,unit_muni_uf,"Hospital Délio de Oliveira Tupinambá, Pacaraima - RR, Brasil",OK,"4°29'11.8""N 61°08'28.1""W - 1, 8, Piraí do Sul - PR, 84240-000, Brasil",4.486599,-61.141127,ChIJvQnJJ8v8v40Ra9XMS0L0sAM,false,ROOFTOP,-5,in_brazil +50; state_mismatch(PR!=RR) -80; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15
RR_0034,3,addr_muni_state,"Rua Caribe, s/n - Centro, Pacaraima, RORAIMA, Brasil",OK,"R. Caribe, Pacaraima - RR, 69345-000, Brasil",4.4826024,-61.1409995,ChIJG0f72Mz8v40RDyF_CR0d4wc,false,GEOMETRIC_CENTER,155,in_brazil +50; state_match(RR) +40; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15
RR_0034,4,unit_addr_muni_state,"Hospital Délio de Oliveira Tupinambá, Rua Caribe, s/n - Centro, Pacaraima, RORAIMA, Brasil",OK,"4°29'11.8""N 61°08'28.1""W - 1, 8, Piraí do Sul - PR, 84240-000, Brasil",4.486599,-61.141127,ChIJvQnJJ8v8v40Ra9XMS0L0sAM,true,ROOFTOP,-5,in_brazil +50; state_mismatch(PR!=RR) -80; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15
