row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes,state_clean,municipality_clean,health_unit_name_clean,address_clean,phones_clean,antivenoms_joined,geocode_query,normalization_notes,needs_review_pre_geocode
MT_0013,MT.json,MT,MATO GROSSO,Aripuanã,Hospital Municipal Santo Antônio,"Manoel Luiz Abreu,941",(66) 3565-1473,4069099,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Aripuanã,Hospital Municipal Santo Antônio,"Manoel Luiz Abreu,941",(66) 3565-1473,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Hospital Municipal Santo Antônio, Manoel Luiz Abreu,941, Aripuanã, MATO GROSSO, Brasil",,false
MT_0014,MT.json,MT,MATO GROSSO,Barra do Bugres,Unidade de Pronto Atendimento,"Av. Presidente Castelo Branco, 470-Centro",(65) 99638-8150,9204970,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Barra do Bugres,Unidade de Pronto Atendimento,"Av. Presidente Castelo Branco, 470-Centro",(65) 99638-8150,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Unidade de Pronto Atendimento, Av. Presidente Castelo Branco, 470-Centro, Barra do Bugres, MATO GROSSO, Brasil",,false
MT_0015,MT.json,MT,MATO GROSSO,Barra do Garças,Unidade de Pronto Atendimento,"Rua 10, Setor Industrial",(66) 3401-9163,7761929,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Barra do Garças,Unidade de Pronto Atendimento,"Rua 10, Setor Industrial",(66) 3401-9163,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Unidade de Pronto Atendimento, Rua 10, Setor Industrial, Barra do Garças, MATO GROSSO, Brasil",,false
MT_0016,MT.json,MT,MATO GROSSO,Bom Jesus do Araguaia,Unidade de Pronto Atendimento,R. Garcez-centro,(66) 98127-7601,7889046,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Bom Jesus do Araguaia,Unidade de Pronto Atendimento,R. Garcez-centro,(66) 98127-7601,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Unidade de Pronto Atendimento, R. Garcez-centro, Bom Jesus do Araguaia, MATO GROSSO, Brasil",,false
MT_0017,MT.json,MT,MATO GROSSO,Brasnorte,Hospital Municipal de Brasnorte,"Rua Cascavel, 930, centro",(66) 3592-1990,2471795,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Brasnorte,Hospital Municipal de Brasnorte,"Rua Cascavel, 930, centro",(66) 3592-1990,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Hospital Municipal de Brasnorte, Rua Cascavel, 930, centro, Brasnorte, MATO GROSSO, Brasil",,false
MT_0018,MT.json,MT,MATO GROSSO,Cáceres,Unidade de Pronto Atendimento,"Av. Getulio Vargas,1290",(65) 322329-44,359734,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Cáceres,Unidade de Pronto Atendimento,"Av. Getulio Vargas,1290",(65) 322329-44,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Unidade de Pronto Atendimento, Av. Getulio Vargas,1290, Cáceres, MATO GROSSO, Brasil",,false
MT_0019,MT.json,MT,MATO GROSSO,Cáceres,Hospital Regional,"Av. Getúlio Vargas, 1670",(65) 3706-2300,2534460,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Cáceres,Hospital Regional,"Av. Getúlio Vargas, 1670",(65) 3706-2300,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Hospital Regional, Av. Getúlio Vargas, 1670, Cáceres, MATO GROSSO, Brasil",,false
MT_0020,MT.json,MT,MATO GROSSO,Campinápolis,Hospital Municipal Dr.Regis,"Rua Bandeirantes, s/n - Cristalino",(66) 98116-9771,2395479,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Campinápolis,Hospital Municipal Dr.Regis,"Rua Bandeirantes, s/n - Cristalino",(66) 98116-9771,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Hospital Municipal Dr.Regis, Rua Bandeirantes, s/n - Cristalino, Campinápolis, MATO GROSSO, Brasil",,false
MT_0021,MT.json,MT,MATO GROSSO,campo Novo do Parecis,Unidade de Pronto Atendimento,Av. Mato grosso-Centro,(65) 99636-6462,9204970,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,campo Novo do Parecis,Unidade de Pronto Atendimento,Av. Mato grosso-Centro,(65) 99636-6462,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Unidade de Pronto Atendimento, Av. Mato grosso-Centro, campo Novo do Parecis, MATO GROSSO, Brasil",,false
MT_0022,MT.json,MT,MATO GROSSO,Campo Verde,Hospital Coração deJesus,"Av. Mato grosso, n.º 355",(66) 3419-4571,2396106,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Campo Verde,Hospital Coração deJesus,"Av. Mato grosso, n.º 355",(66) 3419-4571,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Hospital Coração deJesus, Av. Mato grosso, n.º 355, Campo Verde, MATO GROSSO, Brasil",,false
MT_0023,MT.json,MT,MATO GROSSO,Campos de Júlio,Hospital Municipal Leocyr Lazarete,"Rua Volmir Taborda Câmara, 341,Centro",(65) 3387-6100,2394324,Botrópico|Crotálico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Campos de Júlio,Hospital Municipal Leocyr Lazarete,"Rua Volmir Taborda Câmara, 341,Centro",(65) 3387-6100,"Botrópico, Crotálico, Escorpiônico, Loxoscelico, Fonêutrico","Hospital Municipal Leocyr Lazarete, Rua Volmir Taborda Câmara, 341,Centro, Campos de Júlio, MATO GROSSO, Brasil",,false
MT_0024,MT.json,MT,MATO GROSSO,Canarana,Hospital Municipal,"Avenida Santa Catarina, s/n - Centro",(66) 3478-1666,7768400,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Canarana,Hospital Municipal,"Avenida Santa Catarina, s/n - Centro",(66) 3478-1666,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Hospital Municipal, Avenida Santa Catarina, s/n - Centro, Canarana, MATO GROSSO, Brasil",,false
