row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes
AM_0048,AM.json,AM,AMAZONAS,Manicoré,Hospital Regional de Manicoré Dr. Hamilton Cidade,"Travessa 24 de outubro, s/n - Centro",(97) 3385-1043/1040,2014688,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0049,AM.json,AM,AMAZONAS,Manicoré,Polo Base Boca do Jauari,Rio Madeira Aldeia Boca do Jauari,,7800339,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,indigenous health polo base; municipality inherited (blank in source)
AM_0050,AM.json,AM,AMAZONAS,Maraã,Unidade Mista de Maraã,"Avenida 25 de março, s/n - Centro",(97) 3428-1099,2017660,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0051,AM.json,AM,AMAZONAS,Maraã,Centro de Saude Maximo Maia da Silva O Coruja,Comunidade São Pedro do Cuiu Cuiu,,5625300,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,
AM_0052,AM.json,AM,AMAZONAS,Maués,Hospital Raimunda Francisca Dinelly da Silva,"Estrada dos Moraes, 898 - Maresia",(92) 3542-1112/3222,2018144,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0053,AM.json,AM,AMAZONAS,Maués,Polo Base Nova Esperança,Aldeia Nova Esperança,,7651708,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,indigenous health polo base; municipality inherited (blank in source)
AM_0054,AM.json,AM,AMAZONAS,Nhamundá,Hospital Coronel Pedro Macedo,"Rua Senador Álvaro Maia, 23 - Centro",(92) 3534-7624/7300,2016540,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0055,AM.json,AM,AMAZONAS,Nova Olinda do Norte,Hospital Dr. Galo Manuel Ibañez,"Rua 7 de setembro, 364 - Santa Luzia",(92) 3318-1207/1227,2011905,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0056,AM.json,AM,AMAZONAS,Nova Olinda do Norte,Polo Base Kwatá,Rio Canuma,,5359198,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,indigenous health polo base; municipality inherited (blank in source)
AM_0057,AM.json,AM,AMAZONAS,Novo Airão,Unidade Hospitalar de Novo Airão,"Avenida João Tiburtino da Silva, s/n - Centro",(92) 3365-1535,2708922,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0058,AM.json,AM,AMAZONAS,Novo Aripuanã,Hospital Regional de Novo Aripuanã,"Rua Raimundo Oliveira, s/n - Tucumã",(97) 3379-1481/1101,2019604,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0059,AM.json,AM,AMAZONAS,Parintins,Hospital Regional Jofre Matos Cohen,"Rua Herberth Azevedo, 985 - Santa Clara",(92) 3533-4158,3210243,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico|Lonômico,
AM_0060,AM.json,AM,AMAZONAS,Parintins,P.S. Denizal Pereira,"Rua João Pereira, s/n - Agrovila do Cabori",(92) 3532-1069,3112845,Botrópico,
